,member_id,work_id,age_match,annualpay_match,pref_match,occupation_match,exp_match,licentiate_match,gender_match,Y_prob,Y_prob_prehire,Y_prob_entry_prehire
1133,2955316,99810,1.190279510987408,-0.9721812453854948,0.048314991224487534,1.0,0.0,0.1394205526091573,0,0.4962347004699344,0.607436769887595,0.3014312035595952
1134,2955316,96627,0.4056588598337687,-0.6070423042259141,0.05291783392570048,1.0000000000000002,0.0,0.1394205526091573,1,0.5838599226738149,0.59726706671178,0.3487203033859561
1135,2955316,77312,1.404266961302037,-0.089762137583175,0.05757465307380286,1.0,0.0,0.1394205526091573,1,0.5460139278169044,0.7251260880960964,0.3959289435238562
1136,2955316,18028,0.476988009938645,-0.7591835297090727,0.04819634606417701,1.0000000000000002,0.0,0.1394205526091573,1,0.5814845641535917,0.6071217200965416,0.3530319087985164
1137,2955316,95108,0.4056588598337687,-0.21147511796970184,0.04753202533453973,1.0,0.0,0.1394205526091573,1,0.6108345334567277,0.59726706671178,0.3648313500439584
1138,2955316,51546,0.476988009938645,-0.4183871614118905,0.05017196097086362,0.9999999999999998,0.0,0.1394205526091573,1,0.593376944351105,0.6071217200965416,0.36025203112007276
1139,2407451,84527,-0.3789617913198708,1.0614398019060582,0.047643537877858785,1.0,0.17440189357702404,0.1394205526091573,1,0.6941915482894732,0.5410975398784296,0.375625338983832
1140,2407451,68334,-0.3789617913198708,0.863656208777952,0.04701022733518516,1.0,0.0314970394174356,0.11645656788146687,1,0.6866854630031021,0.4895755801351273,0.3361844339201022
1141,2407451,50093,-1.092253292368634,0.8788703313262679,0.0502267331238725,0.29248781803072804,0.11222791878710113,0.1394205526091573,1,0.5324387490598029,0.419166733558096,0.22318061126315636
1142,2407451,76625,-1.092253292368634,0.757157350939741,0.04701022733518516,1.0,0.0314970394174356,0.1394205526091573,1,0.7216621145140136,0.3942425563619108,0.2845099168555467
1143,2407451,15396,-1.092253292368634,0.757157350939741,0.04632304840819886,1.0,0.0314970394174356,0.1394205526091573,1,0.7226536752924487,0.3942425563619108,0.2849008323116252
1144,2407451,84278,-0.8069366919491288,0.8180138411330045,0.04383334239117009,0.2726069518125906,0.0314970394174356,0.11645656788146687,1,0.5160022742077475,0.42836227760805373,0.2210359094305662
1145,2407451,73221,-1.092253292368634,0.8222737768746048,0.04402367356567472,1.0,0.0314970394174356,0.1394205526091573,1,0.72835452566879,0.3942425563619108,0.28714835013743073
1146,2534586,78581,1.0476212107776557,-0.8910392584611434,0.05271282264500805,1.0,0.0314970394174356,0.16759630656597468,1,0.5453964779774126,0.6971108972803303,0.380201828136366
1147,2534586,69944,1.7609127118264185,-1.0736087290409335,0.04912513632699511,1.0,0.0314970394174356,0.16759630656597468,1,0.5048143672249484,0.7764270888042527,0.3919515495310277
1148,2999991,78581,-1.7342156433125209,-0.6374705493225459,0.04511288818559439,0.29248781803072804,0.07042952122737636,0.1394205526091573,1,0.5083065874225223,0.32083510073459204,0.16308259517976167
1149,2999991,77495,-2.0195322437320264,-0.39404458854949215,0.04253040280341891,1.0,0.07042952122737636,0.0882414401381352,0,0.6773351875618363,0.20147433050331126,0.13646565344035574
1150,2999991,72509,-3.089469495305172,-0.5766140591292824,0.04441780042519414,0.2726069518125906,0.07042952122737636,0.1394205526091573,1,0.5795408352087486,0.1777636957498717,0.1030213207046745
1151,2999991,20069,-2.7328237447807893,-0.04107699185838449,0.06058789999946727,1.0,0.07042952122737636,0.02899815889981648,1,0.7099980217711688,0.19166105265474076,0.13607896823544577
1152,2999991,84790,-2.447507144361284,-0.3453594428247016,0.06058789999946727,1.0,0.07042952122737636,0.1394205526091573,1,0.7183176623233803,0.2384267798814968,0.17126616715976795
1153,2999991,50012,-1.6628864932076446,-0.2723316081629653,0.04533931008397777,0.2726069518125906,0.03537643934646024,0.04833437729667133,1,0.4843591307916942,0.30002489461945686,0.14531979717374977
1154,2978972,78581,1.118950360882532,-0.1303331310453506,0.048495429305787915,0.29248781803072804,0.06932483638594973,0.1394205526091573,1,0.37387789084075335,0.709755966456409,0.2653620637503627
1155,2978972,98312,0.8336337604630266,0.2956623003074933,0.04747326483539526,1.0,0.32094631417809155,0.1394205526091573,1,0.5950458193164749,0.7410947075051282,0.44098530741849234
1156,2978972,72174,0.1203422594142634,0.11309282972770307,0.05842103726626476,1.0,0.06932483638594973,0.11645656788146687,1,0.6099136658079483,0.5731412362751216,0.3495666724422588
1157,2978972,23759,0.1203422594142634,0.2956623003074933,0.04747326483539526,1.0,0.06932483638594973,0.1394205526091573,1,0.6439793540922781,0.5788993596775512,0.37279923572958285
1158,2978972,91650,-0.3076326412149945,-0.03904839575545548,0.042927515833919766,1.0,0.06932483638594973,0.11645656788146687,1,0.6508912133046604,0.51195935418675,0.33322984520928406
1159,2978972,94873,0.3343297097288924,0.41737528069402025,0.04928612511418614,1.0,0.3426768009853161,0.11645656788146687,1,0.6142130199268803,0.6830724019540839,0.41955196283292573
1160,1006428,82724,-0.2363034911101181,0.4833031450700556,0.04178947822461215,0.17357574750186355,0.0,0.1394205526091573,1,0.4550789317421884,0.505960233420391,0.23025184252897982
1161,1006428,100651,0.8336337604630266,0.8180138411330045,0.04787606422619182,1.0,0.0,0.11645656788146687,1,0.6256431802207939,0.6496145468607926,0.4064269110156762
1162,3000592,82724,0.26300055962401603,-1.043180483944302,0.04848632325047419,1.0,0.0,0.1394205526091573,1,0.5794389760675294,0.5773277899574292,0.33452622346826244
1163,2709241,82724,-1.6628864932076446,-2.0574553204986925,0.04277312842960501,1.0,0.0,0.1394205526091573,1,0.6435932397924526,0.3102538665987989,0.1996772911624564
1164,2709241,72022,-1.3062407426832632,-1.6618881342424805,0.04283040795281562,0.1715545784582598,0.0,0.1394205526091573,1,0.4118827407820988,0.3558920172618335,0.146585779492274
1165,2709241,61827,-1.3062407426832632,-1.9661705852087967,0.04204996232209631,1.0,0.0,0.1394205526091573,0,0.5955557778901611,0.26829203609096264,0.15978287225588844
1166,890039,82724,-0.5929492416344998,-1.8038866113600949,0.06992044016154092,0.17357574750186355,0.043865746157436464,0.14462009918873414,1,0.32485198069911353,0.469942713576599,0.15266182132047437
1167,890039,90041,0.1203422594142634,-1.5300324054904095,0.06992044016154092,0.17357574750186355,0.043865746157436464,0.1156193746534352,0,0.2638527310019255,0.4628612300942581,0.12212719963528064
